Tiempo, V1 , V2 ,N/a,N/a,N/a,N/a,N/a
0.001612,2.224000,2.219000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001636,2.151000,2.151000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001656,2.092000,2.092000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001680,2.028000,2.028000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001704,1.994000,1.975000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001728,1.950000,1.935000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001760,1.911000,1.906000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001784,1.891000,1.877000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001804,1.877000,1.877000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001828,1.882000,1.877000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001852,1.891000,1.877000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001876,1.911000,1.891000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001900,1.950000,1.921000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001924,1.994000,1.960000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001948,2.038000,2.014000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001972,2.102000,2.067000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.001996,2.165000,2.126000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002020,2.224000,2.190000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002044,2.307000,2.263000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002064,2.375000,2.336000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002088,2.439000,2.405000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002112,2.507000,2.468000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002136,2.576000,2.537000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002160,2.639000,2.595000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002184,2.693000,2.654000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002208,2.742000,2.703000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002232,2.781000,2.742000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002256,2.810000,2.776000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002280,2.830000,2.805000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002304,2.849000,2.810000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002328,2.849000,2.810000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002348,2.830000,2.810000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002372,2.810000,2.796000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002396,2.781000,2.757000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002420,2.737000,2.717000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002444,2.693000,2.674000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002468,2.639000,2.620000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002492,2.576000,2.561000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002516,2.502000,2.498000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002540,2.439000,2.424000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002564,2.361000,2.351000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002588,2.297000,2.283000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002612,2.224000,2.219000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002632,2.155000,2.151000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002656,2.092000,2.092000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002680,2.028000,2.028000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002704,1.994000,1.984000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002728,1.950000,1.935000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002752,1.911000,1.906000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002780,1.891000,1.877000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002804,1.877000,1.877000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002828,1.882000,1.877000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002852,1.891000,1.877000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002876,1.911000,1.891000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002900,1.950000,1.911000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002924,1.994000,1.960000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002948,2.028000,2.014000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002972,2.102000,2.067000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.002996,2.155000,2.126000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.003020,2.224000,2.190000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.003040,2.307000,2.263000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.003064,2.366000,2.336000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.003088,2.439000,2.405000,0.973000,0.973000,1004.000000,1.000000,1541714560.000000
0.000024,2.248000,2.028000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000048,2.312000,2.204000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000072,2.380000,2.326000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000092,2.463000,2.414000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000116,2.532000,2.483000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000140,2.595000,2.546000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000164,2.654000,2.620000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000188,2.703000,2.654000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000212,2.752000,2.717000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000236,2.796000,2.752000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000260,2.810000,2.781000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000284,2.830000,2.805000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000308,2.849000,2.810000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000332,2.849000,2.810000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000356,2.830000,2.805000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000376,2.805000,2.776000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000400,2.776000,2.752000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000428,2.732000,2.703000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000448,2.674000,2.654000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000476,2.620000,2.595000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000496,2.546000,2.537000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000520,2.483000,2.468000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000544,2.419000,2.405000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000568,2.346000,2.336000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000592,2.263000,2.263000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000616,2.204000,2.195000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000640,2.141000,2.126000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000664,2.067000,2.067000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000688,2.028000,2.014000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000712,1.975000,1.960000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000732,1.935000,1.921000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000760,1.911000,1.891000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000780,1.882000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000804,1.877000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000828,1.882000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000852,1.891000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000876,1.911000,1.891000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000900,1.950000,1.911000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000924,1.994000,1.960000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000948,2.048000,2.014000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000972,2.102000,2.067000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000996,2.170000,2.126000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001016,2.224000,2.195000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001044,2.307000,2.263000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001064,2.380000,2.336000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001088,2.439000,2.405000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001112,2.517000,2.468000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001136,2.576000,2.537000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001160,2.639000,2.595000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001184,2.693000,2.654000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001208,2.742000,2.703000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001232,2.781000,2.742000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001256,2.810000,2.776000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001280,2.830000,2.805000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001300,2.849000,2.810000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001328,2.845000,2.810000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001348,2.830000,2.810000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001372,2.810000,2.791000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001396,2.781000,2.752000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001420,2.737000,2.717000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001452,2.693000,2.664000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001472,2.620000,2.610000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001496,2.546000,2.537000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001520,2.483000,2.478000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001544,2.414000,2.405000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001568,2.346000,2.346000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001592,2.273000,2.263000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001616,2.204000,2.195000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001640,2.141000,2.126000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001664,2.067000,2.067000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001688,2.023000,2.014000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001708,1.970000,1.970000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001736,1.935000,1.931000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001756,1.911000,1.891000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001780,1.891000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001804,1.877000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001828,1.882000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001852,1.891000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001876,1.911000,1.891000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001900,1.950000,1.921000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001924,1.994000,1.960000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001948,2.038000,2.014000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001972,2.107000,2.067000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.001992,2.170000,2.126000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002020,2.224000,2.190000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002040,2.307000,2.263000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002064,2.375000,2.336000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002088,2.439000,2.405000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002112,2.517000,2.468000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002136,2.576000,2.537000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002160,2.639000,2.595000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002184,2.693000,2.654000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002208,2.737000,2.703000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002232,2.781000,2.742000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002256,2.810000,2.776000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002276,2.830000,2.805000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002304,2.849000,2.810000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002324,2.845000,2.810000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002348,2.830000,2.805000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002372,2.810000,2.781000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002396,2.776000,2.752000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002420,2.737000,2.717000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002444,2.693000,2.674000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002472,2.639000,2.620000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002496,2.546000,2.537000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002520,2.483000,2.468000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002544,2.414000,2.405000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002568,2.346000,2.336000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002592,2.273000,2.263000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002616,2.204000,2.190000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002640,2.141000,2.126000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002664,2.067000,2.067000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002688,2.023000,2.014000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002712,1.970000,1.960000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002736,1.935000,1.921000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002760,1.911000,1.891000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002780,1.891000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002804,1.877000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002828,1.882000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002852,1.891000,1.877000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002876,1.911000,1.891000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002900,1.950000,1.921000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002924,1.994000,1.960000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002948,2.048000,2.014000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002972,2.107000,2.067000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.002996,2.170000,2.126000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.003020,2.224000,2.190000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.003044,2.307000,2.263000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.003064,2.375000,2.336000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.003088,2.439000,2.405000,0.973000,0.973000,1008.100000,1.000000,1547978752.000000
0.000024,2.248000,1.994000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000048,2.326000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000072,2.390000,2.312000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000096,2.463000,2.405000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000120,2.532000,2.483000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000144,2.595000,2.546000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000164,2.654000,2.620000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000188,2.703000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000212,2.752000,2.717000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000236,2.796000,2.752000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000260,2.810000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000284,2.845000,2.805000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000308,2.849000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000332,2.845000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000356,2.810000,2.796000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000380,2.805000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000404,2.776000,2.742000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000428,2.727000,2.693000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000448,2.674000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000472,2.620000,2.595000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000496,2.546000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000520,2.483000,2.463000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000544,2.414000,2.405000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000568,2.346000,2.336000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000592,2.263000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000616,2.204000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000640,2.141000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000664,2.067000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000688,2.028000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000712,1.970000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000732,1.935000,1.911000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000756,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000780,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000804,1.877000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000828,1.882000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000852,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000876,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000900,1.950000,1.921000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000924,1.994000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000948,2.038000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000972,2.102000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000996,2.165000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001016,2.224000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001040,2.307000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001064,2.375000,2.336000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001088,2.439000,2.405000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001112,2.507000,2.468000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001144,2.576000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001164,2.654000,2.610000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001192,2.703000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001212,2.752000,2.717000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001236,2.796000,2.752000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001260,2.810000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001284,2.830000,2.796000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001308,2.849000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001332,2.845000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001356,2.810000,2.796000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001380,2.796000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001404,2.776000,2.737000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001428,2.722000,2.693000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001448,2.674000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001476,2.620000,2.595000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001496,2.546000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001520,2.483000,2.463000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001544,2.414000,2.400000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001568,2.346000,2.326000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001592,2.263000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001616,2.195000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001640,2.136000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001664,2.067000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001688,2.023000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001712,1.970000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001732,1.935000,1.911000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001760,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001780,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001804,1.877000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001828,1.882000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001852,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001876,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001900,1.950000,1.911000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001924,1.994000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001948,2.038000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001972,2.102000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001996,2.165000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002016,2.224000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002044,2.307000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002064,2.380000,2.336000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002088,2.439000,2.405000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002112,2.507000,2.468000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002136,2.576000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002168,2.639000,2.595000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002188,2.703000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002212,2.752000,2.717000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002236,2.796000,2.752000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002260,2.810000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002284,2.835000,2.805000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002308,2.849000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002332,2.845000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
