Freq.,Vn002,fase
1.00000000000000e+000,-8.40364023262068e+001,8.99947636361715e+001
1.25892541179417e+000,-8.20364021468605e+001,8.99934078083694e+001
1.58489319246111e+000,-8.00364018626156e+001,8.99917009221545e+001
1.99526231496888e+000,-7.80364014121180e+001,8.99895520794426e+001
2.51188643150958e+000,-7.60364006981273e+001,8.99868468461861e+001
3.16227766016838e+000,-7.40363995665282e+001,8.99834411581761e+001
3.98107170553497e+000,-7.20363977730642e+001,8.99791536487639e+001
5.01187233627272e+000,-7.00363949306149e+001,8.99737559897587e+001
6.30957344480194e+000,-6.80363904256348e+001,8.99669607307881e+001
7.94328234724282e+000,-6.60363832857190e+001,8.99584059888630e+001
1.00000000000000e+001,-6.40363719697060e+001,8.99476361714912e+001
1.25892541179417e+001,-6.20363540350114e+001,8.99340777041471e+001
1.58489319246111e+001,-6.00363256103791e+001,8.99170084642472e+001
1.99526231496888e+001,-5.80362805602302e+001,8.98955192834102e+001
2.51188643150958e+001,-5.60362091601972e+001,8.98684654469633e+001
3.16227766016838e+001,-5.40360959978700e+001,8.98344055661733e+001
3.98107170553498e+001,-5.20359166454048e+001,8.97915244847238e+001
5.01187233627273e+001,-5.00356323852188e+001,8.97375359478634e+001
6.30957344480194e+001,-4.80351818489052e+001,8.96695595194988e+001
7.94328234724283e+001,-4.60344677610977e+001,8.95839645306755e+001
1.00000000000000e+002,-4.40333359180836e+001,8.94761714267549e+001
1.25892541179417e+002,-4.20315418414306e+001,8.93403972906856e+001
1.58489319246112e+002,-4.00286978528699e+001,8.91693266996067e+001
1.99526231496888e+002,-3.80241890059545e+001,8.89536797783882e+001
2.51188643150958e+002,-3.60170393748613e+001,8.86816331176676e+001
3.16227766016838e+002,-3.40056989495578e+001,8.83380196402313e+001
3.98107170553498e+002,-3.19877028997229e+001,8.79031771962210e+001
5.01187233627273e+002,-2.99591240147128e+001,8.73512044496458e+001
6.30957344480194e+002,-2.79136858687379e+001,8.66471545920068e+001
7.94328234724283e+002,-2.58413091636808e+001,8.57422097244494e+001
1.00000000000000e+003,-2.37256856434442e+001,8.45647790324857e+001
1.25892541179417e+003,-2.15401217408017e+001,8.30028060444748e+001
1.58489319246112e+003,-1.92401594021302e+001,8.08655321436112e+001
1.99526231496888e+003,-1.67499143888169e+001,7.77919786718680e+001
2.51188643150959e+003,-1.39361794249295e+001,7.30006862264945e+001
3.16227766016839e+003,-1.05667012223809e+001,6.44743183012828e+001
3.98107170553498e+003,-6.38982799489140e+000,4.58127935545042e+001
5.01187233627273e+003,-3.25598792294697e+000,1.04399164604571e+000
6.30957344480195e+003,-6.22734684816017e+000,-4.47515663420417e+001
7.94328234724283e+003,-1.04294867092500e+001,-6.40378678449311e+001
1.00000000000000e+004,-1.38250601840100e+001,-7.27750225697247e+001
1.25892541179417e+004,-1.66542160866098e+001,-7.76546106603130e+001
1.58489319246112e+004,-1.91534400784747e+001,-8.07730809367356e+001
1.99526231496889e+004,-2.14587477452173e+001,-8.29366105115045e+001
2.51188643150959e+004,-2.36475568642366e+001,-8.45155193165922e+001
3.16227766016839e+004,-2.57651777556584e+001,-8.57046562956733e+001
3.98107170553498e+004,-2.78387949165034e+001,-8.66180872853111e+001
5.01187233627274e+004,-2.98850079113510e+001,-8.73284893590033e+001
6.30957344480195e+004,-3.19140725928445e+001,-8.78853187972162e+001
7.94328234724284e+004,-3.39323739294027e+001,-8.83239260522566e+001
1.00000000000000e+005,-3.59439064889200e+001,-8.86704839633806e+001
1.25892541179417e+005,-3.79511771542217e+001,-8.89448465564069e+001
1.58489319246112e+005,-3.99557622912810e+001,-8.91623216573947e+001
1.99526231496889e+005,-4.19586543849199e+001,-8.93348387113374e+001
2.51188643150959e+005,-4.39604788015885e+001,-8.94717589562934e+001
3.16227766016839e+005,-4.59616297829877e+001,-8.95804610164557e+001
3.98107170553499e+005,-4.79623559443611e+001,-8.96667772985174e+001
5.01187233627274e+005,-4.99628140978081e+001,-8.97353263116008e+001
6.30957344480196e+005,-5.19631031637731e+001,-8.97897694888643e+001
7.94328234724285e+005,-5.39632855483575e+001,-8.98330116139231e+001
1.00000000000000e+006,-5.59634006237740e+001,-8.98673582366945e+001
1.25892541179417e+006,-5.79634732308653e+001,-8.98946398177657e+001
1.58489319246112e+006,-5.99635190426088e+001,-8.99163098912479e+001
1.99526231496889e+006,-6.19635479477716e+001,-8.99335228136000e+001
2.51188643150959e+006,-6.39635661856594e+001,-8.99471954091244e+001
3.16227766016839e+006,-6.59635776929738e+001,-8.99580558803045e+001
3.98107170553499e+006,-6.79635849535925e+001,-8.99666826303938e+001
5.01187233627275e+006,-6.99635895347308e+001,-8.99735350871237e+001
6.30957344480196e+006,-7.19635924252327e+001,-8.99789781797443e+001
7.94328234724285e+006,-7.39635942490158e+001,-8.99833017782700e+001
1.00000000000000e+007,-7.59635953997449e+001,-8.99867361328367e+001